date,name,count,damage
200105,"Illinois",4,0.0
200106,"Illinois",0,0.0
200107,"Illinois",4,0.0
200108,"Illinois",6,0.0
200109,"Illinois",0,0.0
200110,"Illinois",5,0.0
200111,"Illinois",0,0.0
200112,"Illinois",0,0.0
200101,"Indiana",0,0.0
200102,"Indiana",0,0.0
200103,"Indiana",0,0.0
200104,"Indiana",0,0.0
200105,"Indiana",7,0.0
200106,"Indiana",1,0.0
200107,"Indiana",3,0.0
200108,"Indiana",3,0.0
200109,"Indiana",0,0.0
200110,"Indiana",16,1150.0
200111,"Indiana",1,0.0
200112,"Indiana",0,0.0
200101,"Iowa",0,0.0
200102,"Iowa",0,0.0
200103,"Iowa",0,0.0
200104,"Iowa",44,0.0
200105,"Iowa",13,0.0
200106,"Iowa",35,0.0
200107,"Iowa",1,0.0
200108,"Iowa",10,0.0
200109,"Iowa",9,0.0
200110,"Iowa",0,0.0
200111,"Iowa",0,0.0
200112,"Iowa",0,0.0
200101,"Kansas",0,0.0
200102,"Kansas",0,0.0
200103,"Kansas",0,0.0
200104,"Kansas",40,0.0
200105,"Kansas",31,0.0
200106,"Kansas",25,0.0
200107,"Kansas",2,0.0
200108,"Kansas",7,0.0
200109,"Kansas",5,0.0
200110,"Kansas",0,0.0
200111,"Kansas",0,0.0
200112,"Kansas",0,0.0
200101,"Kentucky",0,0.0
200102,"Kentucky",0,0.0
200103,"Kentucky",0,0.0
200104,"Kentucky",0,0.0
200105,"Kentucky",1,0.0
200106,"Kentucky",2,17140.0
200107,"Kentucky",3,0.0
200108,"Kentucky",0,0.0
200109,"Kentucky",0,0.0
200110,"Kentucky",0,0.0
200111,"Kentucky",1,0.0
200112,"Kentucky",0,0.0
200101,"Louisiana",1,0.0
200102,"Louisiana",0,0.0
200103,"Louisiana",2,0.0
200104,"Louisiana",0,0.0
200105,"Louisiana",0,0.0
200106,"Louisiana",2,0.0
200107,"Louisiana",0,0.0
200108,"Louisiana",0,0.0
